"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Dickeya paradisiaca","1","Dickeya paradisiaca Ech703 chromosome, complete genome"," 579405","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya paradisiaca"
"Edwardsiella virus MSW3","1","Edwardsiella phage MSW-3 DNA, complete genome","1264700","Viruses","","","Caudovirales","Myoviridae","Msw3virus","Edwardsiella virus MSW3"
"endosymbiont of unidentified scaly snail isolate Monju","1","Endosymbiont of unidentified scaly snail isolate Monju DNA, complete genome","1248727","Bacteria","Proteobacteria","Gammaproteobacteria","","","","endosymbiont of unidentified scaly snail isolate Monju"
"Enterobacter cloacae complex 'Hoffmann cluster III'","1","Enterobacter cloacae ECNIH3, complete genome","1333851","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae complex 'Hoffmann cluster III'"
"Enterobacter cloacae complex 'Hoffmann cluster IV'","1","Enterobacter cloacae complex 'Hoffmann cluster IV' strain DSM 16690 chromosome, complete genome","1812935","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae complex 'Hoffmann cluster IV'"
"Enterobacter cloacae complex sp. ECNIH7","1","Enterobacter cloacae complex sp. ECNIH7 chromosome, complete genome","1915310","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae complex sp. ECNIH7"
"Enterobacteriaceae bacterium NZ1215","1","Enterobacteriaceae bacterium NZ1215 chromosome, complete genome","2045020","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","Enterobacteriaceae bacterium NZ1215"
"Enterobacteriaceae bacterium S05","1","Enterobacteriaceae bacterium S05 chromosome, complete genome","2052938","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","Enterobacteriaceae bacterium S05"
"Enterobacteriaceae bacterium strain FGI 57","1","Enterobacteriaceae bacterium strain FGI 57, complete genome"," 693444","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","","Enterobacteriaceae bacterium strain FGI 57"
"Enterobacteria phage HK629","1","Enterobacteria phage HK629, complete genome","1147148","Viruses","","","Caudovirales","Siphoviridae","Lambdavirus","Enterobacteria phage HK629"
"Enterobacteria phage K1F","1","Coliphage K1F, complete genome"," 344021","Viruses","","","Caudovirales","Podoviridae","T7virus","Enterobacteria phage K1F"
"Enterobacteria phage mEp235","1","Enterobacteria phage mEp235, complete genome","1147150","Viruses","","","Caudovirales","Siphoviridae","Lambdavirus","Enterobacteria phage mEp235"
"Enterobacteria phage phiEcoM-GJ1","1","Enterobacteria phage phiEcoM-GJ1, complete genome"," 451705","Viruses","","","Caudovirales","Myoviridae","","Enterobacteria phage phiEcoM-GJ1"
"[Enterobacter] lignolyticus","1","Enterobacter lignolyticus SCF1, complete genome"," 701347","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pluralibacter","[Enterobacter] lignolyticus"
"Enterobacter sp. E20","1","Enterobacter sp. E20, complete genome","1560339","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. E20"
"Enterobacter sp. R4-368","1","Enterobacter sp. R4-368, complete genome","1166130","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. R4-368"
"Erwinia phage vB_EamM-Y2","1","Erwinia phage vB_EamM-Y2, complete genome","1051676","Viruses","","","Caudovirales","Myoviridae","","Erwinia phage vB_EamM-Y2"
"Erwinia virus Ea214","1","Erwinia phage phiEa21-4, complete genome"," 557393","Viruses","","","Caudovirales","Myoviridae","Ea214virus","Erwinia virus Ea214"
"Erythrobacter flavus","1","Erythrobacter flavus strain VG1 chromosome, complete genome"," 192812","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter flavus"
"Erythrobacter seohaensis","1","Erythrobacter seohaensis strain SW-135 chromosome, complete genome"," 266951","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter seohaensis"
"Escherichia phage ST31","1","Escherichia phage ST31, complete genome","1983789","Viruses","","","Caudovirales","Podoviridae","","Escherichia phage ST31"
"Escherichia phage vB_EcoP_GA2A","1","Escherichia phage vB_EcoP_GA2A, complete genome","1755695","Viruses","","","Caudovirales","Podoviridae","T7virus","Escherichia phage vB_EcoP_GA2A"
"[Eubacterium] rectale","1","[Eubacterium] rectale ATCC 33656 chromosome, complete genome"," 515619","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","","[Eubacterium] rectale"
"Exiguobacterium sp. AT1b","1","Exiguobacterium sp. AT1b, complete genome"," 360911","Bacteria","Firmicutes","Bacilli","Bacillales","","Exiguobacterium","Exiguobacterium sp. AT1b"
"Exiguobacterium sp. MH3","1","Exiguobacterium sp. MH3, complete genome","1399115","Bacteria","Firmicutes","Bacilli","Bacillales","","Exiguobacterium","Exiguobacterium sp. MH3"
"Exiguobacterium sp. ZWU0009","1","Exiguobacterium sp. ZWU0009, complete genome","1224749","Bacteria","Firmicutes","Bacilli","Bacillales","","Exiguobacterium","Exiguobacterium sp. ZWU0009"
"Ezakiella massiliensis","1","Ezakiella sp. Marseille-P2951 strain Marseille-P2951T genome assembly, chromosome: contig00001","1852374","Bacteria","Firmicutes","Tissierellia","","","Ezakiella","Ezakiella massiliensis"
"Faecalibaculum rodentium","1","Faecalibaculum rodentium strain Alo17, complete genome","1702221","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Faecalibaculum rodentium"
"Ferrimonas balearica","1","Ferrimonas balearica DSM 9799, complete genome"," 550540","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Ferrimonadaceae","Ferrimonas","Ferrimonas balearica"
"Filifactor alocis","1","Filifactor alocis ATCC 35896, complete genome"," 546269","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Filifactor","Filifactor alocis"
"Fimbriimonas ginsengisoli","1","Fimbriimonas ginsengisoli Gsoil 348, complete genome"," 661478","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas","Fimbriimonas ginsengisoli"
"Flavobacteriaceae bacterium 3519-10","1","Flavobacteriaceae bacterium 3519-10, complete genome"," 531844","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","Flavobacteriaceae bacterium 3519-10"
"Flavobacteriaceae bacterium UJ101","1","Flavobacteriaceae bacterium UJ101, complete genome","1150389","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","Flavobacteriaceae bacterium UJ101"
"Flavobacterium branchiophilum","1","Flavobacterium branchiophilum FL-15, complete genome","1034807","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium branchiophilum"
"Frankia inefficax","1","Frankia inefficax strain EuI1c chromosome, complete genome"," 298654","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia","Frankia inefficax"
"Frateuria aurantia","1","Frateuria aurantia DSM 6220, complete genome"," 767434","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria","Frateuria aurantia"
"Frischella perrara","1","Frischella perrara strain PEB0191, complete genome","1267021","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Frischella","Frischella perrara"
"Frondihabitans sp. PAMC 28766","1","Frondihabitans sp. PAMC28766, complete genome","1795630","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Frondihabitans","Frondihabitans sp. PAMC 28766"
"gamma proteobacterium HdN1","1","gamma proteobacterium HdN1 complete genome","  83406","Bacteria","Proteobacteria","Gammaproteobacteria","","","","gamma proteobacterium HdN1"
"Gemmata sp. SH-PL17","1","Gemmata sp. SH-PL17, complete genome","1630693","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Gemmataceae","Gemmata","Gemmata sp. SH-PL17"
"Gemmobacter sp. HYN0069","1","Gemmobacter sp. HYN0069 chromosome, complete genome","2169400","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter","Gemmobacter sp. HYN0069"
"Geoalkalibacter subterraneus","1","Geoalkalibacter subterraneus strain Red1, complete genome"," 483547","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geoalkalibacter","Geoalkalibacter subterraneus"
"Geobacillus sp. LC300","1","Geobacillus sp. LC300, complete genome","1519377","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus sp. LC300"
"Geobacillus sp. WCH70","1","Geobacillus sp. WCH70, complete genome"," 471223","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus sp. WCH70"
"Geobacillus sp. Y4.1MC1","1","Geobacillus sp. Y4.1MC1, complete genome"," 581103","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus sp. Y4.1MC1"
"Geobacillus stearothermophilus","1","Geobacillus stearothermophilus 10, complete genome"," 272567","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus stearothermophilus"
"Geobacillus subterraneus","1","Geobacillus subterraneus strain KCTC 3922, complete genome"," 129338","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus subterraneus"
"Geobacter pickeringii","1","Geobacter pickeringii strain G13, complete genome"," 345632","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Geobacter pickeringii"
"Gibbsiella quercinecans","1","Gibbsiella quercinecans strain FRB97, complete genome"," 929813","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Gibbsiella","Gibbsiella quercinecans"
"Gordonia phage Lucky10","1","Gordonia phage Lucky10, complete genome","1821557","Viruses","","","Caudovirales","Siphoviridae","","Gordonia phage Lucky10"
"Gottschalkia acidurici","1","Gottschalkia acidurici 9a chromosome, complete genome","1128398","Bacteria","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae","Gottschalkia","Gottschalkia acidurici"
"Gramella forsetii","1","Gramella forsetii KT0803 complete circular genome"," 411154","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella forsetii"
"Gramella sp. LPB0144","1","Gramella sp. LPB0144 chromosome, complete genome","1913577","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella sp. LPB0144"
"Granulosicoccus antarcticus","1","Granulosicoccus antarcticus IMCC3135, complete genome","1192854","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus","Granulosicoccus antarcticus"
"Haemophilus parainfluenzae","1","Haemophilus parainfluenzae T3T1 complete genome"," 862965","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae"
"Haemophilus pittmaniae","1","Haemophilus pittmaniae strain NCTC13334 genome assembly, chromosome: 1"," 249188","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus pittmaniae"
"Hafnia alvei","1","Hafnia alvei FB1, complete genome","1453496","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia alvei"
"Haliangium ochraceum","1","Haliangium ochraceum DSM 14365, complete genome"," 502025","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Kofleriaceae","Haliangium","Haliangium ochraceum"
"Halioglobus japonicus","1","Halioglobus japonicus strain NBRC 107739 chromosome, complete genome"," 930805","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","Halioglobus japonicus"
"Halobacillus halophilus","1","Halobacillus halophilus DSM 2266 complete genome"," 866895","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus","Halobacillus halophilus"
"Halobacillus mangrovi","1","Halobacillus mangrovi strain KTB 131 chromosome, complete genome"," 402384","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Halobacillus","Halobacillus mangrovi"
"Halobiforma lacisalsi","1","Halobiforma lacisalsi AJ5, complete genome"," 358396","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halobiforma","Halobiforma lacisalsi"
"Halocynthiibacter arcticus","1","Halocynthiibacter arcticus strain PAMC 20958, complete genome","1579316","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Halocynthiibacter","Halocynthiibacter arcticus"
"Haloferax mediterranei","1","Haloferax mediterranei ATCC 33500, complete genome"," 523841","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","Haloferax mediterranei"
"Halomonas aestuarii","1","Halomonas aestuarii strain Hb3 chromosome, complete genome","1897729","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas aestuarii"
"Halomonas beimenensis","1","Halomonas beimenensis strain NTU-111 chromosome, complete genome"," 475662","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas beimenensis"
"Halomonas campaniensis","1","Halomonas campaniensis strain LS21, complete genome"," 213554","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas campaniensis"
"Halomonas hydrothermalis","1","Halomonas hydrothermalis strain Y2 chromosome, complete genome"," 115561","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas hydrothermalis"
"Halomonas sp. SF2003","1","Halomonas sp. SF2003 chromosome, complete genome","2136172","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas sp. SF2003"
"Halothece sp. PCC 7418","1","Halothece sp. PCC 7418, complete genome","  65093","Bacteria","Cyanobacteria","","Chroococcales","Aphanothecaceae","Halothece","Halothece sp. PCC 7418"
"Halothiobacillus neapolitanus","1","Halothiobacillus neapolitanus c2, complete genome"," 555778","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Halothiobacillaceae","Halothiobacillus","Halothiobacillus neapolitanus"
"Herbaspirillum sp. meg3","1","Herbaspirillum sp. meg3 chromosome, complete genome","2025949","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum sp. meg3"
"Herminiimonas arsenicoxydans","1","Herminiimonas arsenicoxydans chromosome, complete sequence"," 204773","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","Herminiimonas arsenicoxydans"
"Herminiimonas arsenitoxidans","1","Herminiimonas sp. AS8 genome assembly, chromosome: I","1809410","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","Herminiimonas arsenitoxidans"
"Heterosigma akashiwo virus 01","1","Heterosigma akashiwo virus 01 isolate HaV53, complete genome","  97195","Viruses","","","","Phycodnaviridae","Raphidovirus","Heterosigma akashiwo virus 01"
"Hoyosella subflava","1","Hoyosella subflava DQS3-9A1 chromosome, complete genome"," 443218","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Hoyosella","Hoyosella subflava"
"Hymenobacter sedentarius","1","Hymenobacter sedentarius strain DG5B chromosome, complete genome","1411621","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter sedentarius"
"Hymenobacter sp. DG25B","1","Hymenobacter sp. DG25B, complete genome","1385664","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter sp. DG25B"
"Hymenobacter sp. PAMC 26554","1","Hymenobacter sp. PAMC 26554 chromosome, complete genome","1484116","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter sp. PAMC 26554"
"Hyphomonadaceae bacterium UKL13-1","1","Hyphomonadaceae bacterium UKL13-1, complete genome","1690484","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","","Hyphomonadaceae bacterium UKL13-1"
